id,tt_id,genre,bucket
357,8000,/Drama/,Serious Drama
358,7673,/Drama/,Serious Drama
359,5487,/Drama/,Serious Drama
360,4098,/Drama/,Serious Drama
361,4005,/Drama/,Serious Drama
362,2457,/Drama/,Serious Drama
363,2031,/Drama/,Serious Drama
364,1730,/Drama/,Serious Drama
365,1417,/Drama/,Serious Drama
366,677,/Drama/,Serious Drama
367,36479,/Drama/,Serious Drama
368,34371,/Drama/,Serious Drama
369,32700,/Drama/,Serious Drama
370,33186,/Drama/,Serious Drama
371,31170,/Drama/,Serious Drama
372,30207,/Drama/,Serious Drama
373,27570,/Drama/,Serious Drama
374,25168,/Drama/,Serious Drama
375,24576,/Drama/,Serious Drama
376,24870,/Drama/,Serious Drama
377,24123,/Drama/,Serious Drama
378,19296,/Drama/,Serious Drama
379,17551,/Drama/,Serious Drama
380,9943,/Drama/,Serious Drama
381,9026,/Drama/,Serious Drama
382,3688,/Drama/,Serious Drama
383,2407,/Drama/,Serious Drama
384,1753,/Drama/,Serious Drama
385,1135,/Drama/,Serious Drama
386,34652,/Drama/,Serious Drama
387,31693,/Drama/,Serious Drama
388,28494,/Drama/,Serious Drama
389,27990,/Drama/,Serious Drama
390,26728,/Drama/,Serious Drama
391,25319,/Drama/,Serious Drama
392,21625,/Drama/,Serious Drama
393,21727,/Drama/,Serious Drama
394,19604,/Drama/,Serious Drama
395,19442,/Drama/,Serious Drama
396,16995,/Drama/,Serious Drama
397,19227,/Drama/,Serious Drama
398,16173,/Drama/,Serious Drama
399,13602,/Drama/,Serious Drama
400,11576,/Drama/,Serious Drama
401,10861,/Drama/,Serious Drama
402,10413,/Drama/,Serious Drama
403,10037,/Drama/,Serious Drama
404,8447,/Drama/,Serious Drama
405,8366,/Drama/,Serious Drama
406,6787,/Drama/,Serious Drama
407,5289,/Drama/,Serious Drama
408,3877,/Drama/,Serious Drama
409,3531,/Drama/,Serious Drama
410,3379,/Drama/,Serious Drama
411,3399,/Drama/,Serious Drama
412,3326,/Drama/,Serious Drama
413,1767,/Drama/,Serious Drama
414,1749,/Drama/,Serious Drama
415,1440,/Drama/,Serious Drama
416,2424,/Drama/,Serious Drama
417,312,/Drama/,Serious Drama
418,58,/Drama/,Serious Drama
419,41104,/Drama/,Serious Drama
420,41078,/Drama/,Serious Drama
421,40553,/Drama/,Serious Drama
422,40459,/Drama/,Serious Drama
423,38686,/Drama/,Serious Drama
424,34700,/Drama/,Serious Drama
425,33263,/Drama/,Serious Drama
426,32531,/Drama/,Serious Drama
427,30857,/Drama/,Serious Drama
428,30221,/Drama/,Serious Drama
429,30369,/Drama/,Serious Drama
430,30100,/Drama/,Serious Drama
431,29374,/Drama/,Serious Drama
432,26828,/Drama/,Serious Drama
433,26711,/Drama/,Serious Drama
434,25369,/Drama/,Serious Drama
435,24926,/Drama/,Serious Drama
436,23166,/Drama/,Serious Drama
437,19988,/Drama/,Serious Drama
438,17158,/Drama/,Serious Drama
439,17023,/Drama/,Serious Drama
440,16459,/Drama/,Serious Drama
441,14489,/Drama/,Serious Drama
442,13482,/Drama/,Serious Drama
443,12197,/Drama/,Serious Drama
444,11562,/Drama/,Serious Drama
445,11659,/Drama/,Serious Drama
446,11523,/Drama/,Serious Drama
447,9689,/Drama/,Serious Drama
448,7842,/Drama/,Serious Drama
449,7789,/Drama/,Serious Drama
450,7772,/Drama/,Serious Drama
451,5562,/Drama/,Serious Drama
452,4330,/Drama/,Serious Drama
453,3295,/Drama/,Serious Drama
454,1730,/Drama/,Serious Drama
455,1177,/Drama/,Serious Drama
456,961,/Drama/,Serious Drama
457,33344,/Drama/,Serious Drama
458,32950,/Drama/,Serious Drama
459,32995,/Drama/,Serious Drama
460,32190,/Drama/,Serious Drama
461,20765,/Drama/,Serious Drama
462,16350,/Drama/,Serious Drama
463,13052,/Drama/,Serious Drama
464,11928,/Drama/,Serious Drama
465,10982,/Drama/,Serious Drama
466,11258,/Drama/,Serious Drama
467,7411,/Drama/,Serious Drama
468,7078,/Drama/,Serious Drama
469,4916,/Drama/,Serious Drama
470,4755,/Drama/,Serious Drama
471,4423,/Drama/,Serious Drama
472,4185,/Drama/,Serious Drama
473,3708,/Drama/,Serious Drama
474,3668,/Drama/,Serious Drama
475,2842,/Drama/,Serious Drama
476,2539,/Drama/,Serious Drama
477,1998,/Drama/,Serious Drama
478,1809,/Drama/,Serious Drama
479,1187,/Drama/,Serious Drama
480,1237,/Drama/,Serious Drama
481,897,/Drama/,Serious Drama
482,843,/Drama/,Serious Drama
483,471,/Drama/,Serious Drama
484,422,/Drama/,Serious Drama
485,391,/Drama/,Serious Drama
486,39578,/Drama/,Serious Drama
487,39116,/Drama/,Serious Drama
488,40589,/Drama/,Serious Drama
489,35457,/Drama/,Serious Drama
490,33578,/Drama/,Serious Drama
491,32594,/Drama/,Serious Drama
492,27227,/Drama/,Serious Drama
493,26824,/Drama/,Serious Drama
494,22374,/Drama/,Serious Drama
495,21565,/Drama/,Serious Drama
496,21212,/Drama/,Serious Drama
497,21127,/Drama/,Serious Drama
498,21094,/Drama/,Serious Drama
499,20235,/Drama/,Serious Drama
500,19975,/Drama/,Serious Drama
501,17620,/Drama/,Serious Drama
502,16898,/Drama/,Serious Drama
503,15538,/Drama/,Serious Drama
504,14123,/Drama/,Serious Drama
505,12664,/Drama/,Serious Drama
506,12663,/Drama/,Serious Drama
507,11360,/Drama/,Serious Drama
508,11135,/Drama/,Serious Drama
509,11934,/Drama/,Serious Drama
510,10969,/Drama/,Serious Drama
511,9919,/Drama/,Serious Drama
512,8694,/Drama/,Serious Drama
513,8188,/Drama/,Serious Drama
514,8104,/Drama/,Serious Drama
515,7444,/Drama/,Serious Drama
516,7864,/Drama/,Serious Drama
517,7660,/Drama/,Serious Drama
518,5218,/Drama/,Serious Drama
519,6937,/Drama/,Serious Drama
520,4491,/Drama/,Serious Drama
521,3247,/Drama/,Serious Drama
522,2647,/Drama/,Serious Drama
523,1945,/Drama/,Serious Drama
524,1349,/Drama/,Serious Drama
525,541,/Drama/,Serious Drama
526,476,/Drama/,Serious Drama
527,155,/Drama/,Serious Drama
528,178,/Drama/,Serious Drama
529,40437,/Drama/,Serious Drama
530,40269,/Drama/,Serious Drama
531,39322,/Drama/,Serious Drama
532,35429,/Drama/,Serious Drama
533,34655,/Drama/,Serious Drama
534,32953,/Drama/,Serious Drama
535,33027,/Drama/,Serious Drama
536,32222,/Drama/,Serious Drama
537,31620,/Drama/,Serious Drama
538,30519,/Drama/,Serious Drama
539,30041,/Drama/,Serious Drama
